client_name,campaign_id,campaign_type,industry,clicks,displays,spend,sales,order_value_euro,visits,start_day,end_day,CTR,CR,landing_rate,AOV,CPC,CPV,CPO,ROI
Client-4400,426245,Image Campaign,Robotics,2018.0,584729.0,1184.0,15.0,2076.0,920.0,2023-12-28,2024-01-05,0.0034510027387064,0.0075821398483572,0.4557708508845829,135.71666666666667,0.5868709122666388,1.2876446818123848,77.40175254005558,1.7534056040453734
Client-300,J14J96,Video Campaign,Robotics,3443.0,440678.0,104.0,4.0,252.0,1733.0,2022-01-06,2022-01-13,0.0078137507353721,0.0012342631449024,0.5033325104912367,59.239991871570815,0.0300806535466305,0.0597629855406573,24.37134550348007,2.4307230744856385
Client-1565,JSJ165,Image Campaign,Transportation,7194.0,2106667.0,24114.0,7.0,16685.0,3318.0,2023-02-13,2024-01-05,0.0034150624265664,0.0009451795841209,0.4611294896030246,2453.718168926885,3.3517709430613896,7.268611135555111,3546.17365775895,0.6919340127515199
Client-1805,JJ9P91,Video Campaign,Robotics,6676.0,966692.0,1301.0,19.0,3440.0,3509.0,2023-06-21,2023-07-26,0.006905920679513,0.0028011204481792,0.5255920550038197,183.9590909090909,0.1948145334064349,0.3706573026584642,69.54878842609729,2.645036600523477
Client-4401,4J14S1,Video Campaign,Transportation,23230.0,7071942.0,1400.0,0.0,0.0,0.0,2023-10-27,2023-11-03,0.003284882616829,0.0,0.0,,0.0602856771973143,,,0.0
Client-4402,221269,Image Campaign,Robotics,60769.0,5363082.0,15605.0,1167.0,267377.0,50312.0,2022-01-23,2023-03-02,0.0113309944293596,0.0192046773810023,0.8279272096568895,229.1051420247632,0.2567950114138878,0.3101661697050747,13.371482702850022,17.13386219883688
Client-424,J69226,Video Campaign,Robotics,2298.0,1030635.0,159.0,0.0,0.0,782.0,2022-11-04,2022-11-17,0.0022292562877728,0.0,0.340362560118387,,0.0694057061478707,0.2039169823018419,,0.0
Client-2006,JA6461,Video Campaign,Robotics,144480.0,87691227.0,6684.0,394.0,43518.0,69693.0,2022-01-14,2022-06-23,0.0016476043900795,0.0027238979391329,0.4823711443312918,110.57763742862998,0.0462598115890804,0.095900868310044,16.98294599239121,6.511098691485658
Client-4403,S565A,Image Campaign,Robotics,64354.0,8711358.0,9561.0,121.0,20954.0,39131.0,2022-01-23,2023-10-20,0.0073873093811218,0.0018755778628978,0.6080702681283846,173.6038732394366,0.1485743158535629,0.2443374123699035,79.2152215019243,2.191546901566379
Client-3890,JASJAP,Video Campaign,Robotics,23625.0,4957763.0,4331.0,46.0,5001.0,8613.0,2022-01-06,2022-01-13,0.0047652341246586,0.0019428653666258,0.3645750881485212,108.94833333333334,0.183329054415485,0.502856778685877,94.360143304148,1.1546011856103662
